instrumento;cantidad;precio;moneda;total
ON GM/CTR REGS 9.875% V.01/12/2027 (MRCAO);4471;0;ARS;0
CEDEAR TESLA, INC. (TSLA);169;0;ARS;0
CEDEAR VISTA ENERGY S.A.B. DE CV (VIST) (VIST);46;0;ARS;0
CEDEAR NU HOLDINGS LTD/CAYMAN ISLANDS (NU);138;0;ARS;0
CEDEAR ISHARES ETHEREUM TR ETF (ETHA);167;0;ARS;0
FCI COCOS AHORRO CL.A U$S ESC. (COCOAUSD);0,32;1059,3;USD;0,34
ARS;19213,11;1;ARS;19213,11
EXT;191,01;0;EXT;191,01
USD;0,01;1360;USD;0,01
